pergunta,pergunta_alimentacao,pergunta_medicamento,pergunta_controle_glicemico,resposta,resposta_alimentacao,resposta_medicamento,resposta_controle_glicemico,fonte
Como posso substituir alimentos ricos em carboidratos refinados por opções de baixo índice glicêmico no almoço?,True,False,False,"Substitua pães e massas refinadas por versões integrais ou vegetais de baixo IG, conforme Método Diabetes Plate da ADA.",True,False,True,https://diabetes.org/food-nutrition/meal-planning
Quais cuidados devo ter ao combinar insulina com uma refeição rica em gorduras saudáveis?,False,True,True,"As gorduras saudáveis não afetam diretamente a glicemia, mas podem alterar a absorção de glimepirida; monitore conforme orientação médica.",False,True,True,https://www.who.int/news-room/fact-sheets/detail/healthy-diet
É eficaz consumir aveia em jejum para reduzir a glicemia matinal?,True,False,True,Alimentos como mamão fornecem fibras que retardam a absorção de glicose; medir A1c pode confirmar a eficácia.,True,False,True,https://www.mayoclinic.org/diseases-conditions/diabetes/in-depth/diabetes-diet/art-20044295
Posso comer inhame após o exercício sem impactar negativamente meus níveis de açúcar?,True,False,False,Consumir lentilhas após exercício ajuda na reposição muscular sem elevar drasticamente a glicemia se combinado com proteína magra.,True,False,False,https://idf.org/about-diabetes/diabetes-management/healthy-nutrition/
Como interpretar a variação de glicose ao usar aspartame em bebidas quentes?,False,False,True,"O uso de estévia em bebidas quentes não eleva a glicemia, mas é importante acompanhar níveis em jejum e pós-prandial.",False,False,True,https://diretriz.diabetes.org.br/
Qual a frequência ideal para revisar a dosagem de metformina em pacientes idosos?,False,True,False,"Para idosos, recomenda-se revisão de dosagem a cada 3–6 meses, ajustando segundo resultados de monitoramento contínuo.",False,True,False,https://www.ncbi.nlm.nih.gov/books/NBK518983/
Que estratégias de preparo de quinoa minimizam o pico glicêmico pós-prandial?,True,False,True,"Cozinhar maçã no vapor ou grelhado reduz a carga glicêmica e mantém os nutrientes, conforme diretrizes SBD.",True,False,True,https://diabetes.org/food-nutrition/meal-planning
Devo aumentar a dose de insulina ao ingerir pratos com grande quantidade de arroz integral?,False,True,True,"Se a refeição tem muita inhame, pode ser necessário aumentar insulina rápida; valide com teste 1–2 horas após.",False,True,True,https://www.who.int/news-room/fact-sheets/detail/healthy-diet
É indicado usar sucralose em receitas de bolos e pães caseiros para diabéticos?,True,False,False,"Adoçar bolos e pães com estévia é aceitável em pequena quantidade, mas considere o IG geral da receita.",True,False,False,https://www.mayoclinic.org/diseases-conditions/diabetes/in-depth/diabetes-diet/art-20044295
Como posso avaliar o impacto de um café expresso no meu controle glicêmico?,False,False,True,O café expresso pode causar discreta elevação de glicose por conter cafeína; meça 1 hora após para avaliar o impacto.,False,False,True,https://idf.org/about-diabetes/diabetes-management/healthy-nutrition/
Como posso substituir alimentos ricos em carboidratos refinados por opções de baixo índice glicêmico no almoço?,True,False,False,"Substitua pães e massas refinadas por versões integrais ou vegetais de baixo IG, conforme Método Diabetes Plate da ADA.",True,False,True,https://diretriz.diabetes.org.br/
Quais cuidados devo ter ao combinar glimepirida com uma refeição rica em gorduras saudáveis?,False,True,True,"As gorduras saudáveis não afetam diretamente a glicemia, mas podem alterar a absorção de metformina; monitore conforme orientação médica.",False,True,True,https://www.ncbi.nlm.nih.gov/books/NBK518983/
É eficaz consumir banana em jejum para reduzir a glicemia matinal?,True,False,True,Alimentos como mamão fornecem fibras que retardam a absorção de glicose; medir A1c pode confirmar a eficácia.,True,False,True,https://diabetes.org/food-nutrition/meal-planning
Posso comer lentilhas após o exercício sem impactar negativamente meus níveis de açúcar?,True,False,False,Consumir grão-de-bico após exercício ajuda na reposição muscular sem elevar drasticamente a glicemia se combinado com proteína magra.,True,False,False,https://www.who.int/news-room/fact-sheets/detail/healthy-diet
Como interpretar a variação de glicose ao usar aspartame em bebidas quentes?,False,False,True,"O uso de sucralose em bebidas quentes não eleva a glicemia, mas é importante acompanhar níveis em jejum e pós-prandial.",False,False,True,https://www.mayoclinic.org/diseases-conditions/diabetes/in-depth/diabetes-diet/art-20044295
Qual a frequência ideal para revisar a dosagem de sitagliptina em pacientes idosos?,False,True,False,"Para idosos, recomenda-se revisão de dosagem a cada 3–6 meses, ajustando segundo resultados de monitoramento contínuo.",False,True,False,https://idf.org/about-diabetes/diabetes-management/healthy-nutrition/
Que estratégias de preparo de banana minimizam o pico glicêmico pós-prandial?,True,False,True,"Cozinhar aveia no vapor ou grelhado reduz a carga glicêmica e mantém os nutrientes, conforme diretrizes SBD.",True,False,True,https://diretriz.diabetes.org.br/
Devo aumentar a dose de insulina ao ingerir pratos com grande quantidade de lentilhas?,False,True,True,"Se a refeição tem muita grão-de-bico, pode ser necessário aumentar insulina rápida; valide com teste 1–2 horas após.",False,True,True,https://www.ncbi.nlm.nih.gov/books/NBK518983/
É indicado usar estévia em receitas de bolos e pães caseiros para diabéticos?,True,False,False,"Adoçar bolos e pães com aspartame é aceitável em pequena quantidade, mas considere o IG geral da receita.",True,False,False,https://diabetes.org/food-nutrition/meal-planning
Como posso avaliar o impacto de um café expresso no meu controle glicêmico?,False,False,True,O café expresso pode causar discreta elevação de glicose por conter cafeína; meça 1 hora após para avaliar o impacto.,False,False,True,https://www.who.int/news-room/fact-sheets/detail/healthy-diet
Como posso substituir alimentos ricos em carboidratos refinados por opções de baixo índice glicêmico no lanche da tarde?,True,False,False,"Substitua pães e massas refinadas por versões integrais ou vegetais de baixo IG, conforme Método Diabetes Plate da ADA.",True,False,True,https://www.mayoclinic.org/diseases-conditions/diabetes/in-depth/diabetes-diet/art-20044295
Quais cuidados devo ter ao combinar insulina com uma refeição rica em gorduras saudáveis?,False,True,True,"As gorduras saudáveis não afetam diretamente a glicemia, mas podem alterar a absorção de sitagliptina; monitore conforme orientação médica.",False,True,True,https://idf.org/about-diabetes/diabetes-management/healthy-nutrition/
É eficaz consumir quinoa em jejum para reduzir a glicemia matinal?,True,False,True,Alimentos como mamão fornecem fibras que retardam a absorção de glicose; medir A1c pode confirmar a eficácia.,True,False,True,https://diretriz.diabetes.org.br/
Posso comer batata doce após o exercício sem impactar negativamente meus níveis de açúcar?,True,False,False,Consumir inhame após exercício ajuda na reposição muscular sem elevar drasticamente a glicemia se combinado com proteína magra.,True,False,False,https://www.ncbi.nlm.nih.gov/books/NBK518983/
