pergunta,alimentacao,medicamento,controle_glicemico,duvida_geral,resposta,nome_artigo,trecho
Qual é o objetivo da estratificação de risco em pacientes com DM?,False,False,False,True,"Direcionar estratégias de cuidado conforme baixo, médio ou alto risco.",Diabetes Mellitus Quick Guide,…profissional deve realizar a estratificação de risco do usuário…
Quais são as três categorias de risco descritas?,False,False,False,True,"Baixo, médio e alto risco.",Diabetes Mellitus Quick Guide,"…classificado em baixo, médio e alto risco…"
Que critério define o risco baixo na estratificação?,False,False,True,False,"Pessoa com glicemia de jejum alterada ou intolerância à glicose, mas sem DM estabelecido.",Diabetes Mellitus Quick Guide,Baixo: pessoa com glicemia de jejum alterada e intolerância à sobrecarga de glicose.
Quais condições mantêm um paciente com DM2 em risco médio?,False,False,True,False,"Controle metabólico e pressórico adequados, sem internações recentes e sem complicações crônicas.",Diabetes Mellitus Quick Guide,Médio: DM2 com controle adequado … sem complicações.
Quais fatores elevam o paciente ao risco alto?,False,False,True,False,"DM1 ou DM2 com controle inadequado, internações por complicações agudas ou presença de complicações crônicas.",Diabetes Mellitus Quick Guide,Alto: DM1 ou DM2 e controle inadequado … ou complicações crônicas.
O que é gestão de caso segundo o quadro de estratificação?,False,False,False,True,Cuidado compartilhado com diferentes especialidades e níveis de atenção.,Diabetes Mellitus Quick Guide,Gestão de caso (cuidado compartilhado)…
Qual HbA1c caracteriza mau controle metabólico na gestão de caso?,False,False,True,False,HbA1c > 9 %.,Diabetes Mellitus Quick Guide,…mal controle metabólico (HbA1c > 9)…
Qual pressão arterial inadequada contribui para risco alto?,False,False,True,False,Pressão não controlada segundo metas individuais (ex.: >140/90 mmHg).,Diabetes Mellitus Quick Guide,…pressórico inadequados…
Quais complicações crônicas comuns elevam o risco?,False,False,False,True,"Neuropatia, nefropatia, retinopatia, pé diabético.",Diabetes Mellitus Quick Guide,…complicações crônicas (incluindo pé diabético de risco avançado)…
Como a estratificação influencia a frequência de consultas?,False,False,False,True,Pacientes de maior risco exigem consultas mais frequentes e especializadas.,Diabetes Mellitus Quick Guide,…analisar a melhor maneira de formular estratégias…
Que parâmetro pressórico é avaliado na estratificação?,False,False,True,False,Pressão arterial (controle pressórico).,Diabetes Mellitus Quick Guide,…controle metabólico e pressórico…
Por que indivíduos com DM1 entram diretamente em risco alto?,False,False,False,True,Devido ao maior risco de complicações e necessidade de manejo intensivo.,Diabetes Mellitus Quick Guide,Alto: Pessoa com DM1…
Qual documento oficial fornece o quadro de estratos de risco?,False,False,False,True,Linha Guia de Diabetes – SESA – 2018 (Quadro 02).,Diabetes Mellitus Quick Guide,Quadro 02 - Estratificação de risco dos pacientes com DM
Internações por complicações agudas nos últimos 12 meses alteram para qual nível de risco?,False,False,True,False,Alto risco.,Diabetes Mellitus Quick Guide,…internações por complicações agudas nos últimos 12 meses… → Alto risco
Qual relação entre descontrole metabólico e complicações?,False,False,True,False,"Descontrole aumenta o risco de complicações agudas e crônicas, elevando o estrato.",Diabetes Mellitus Quick Guide,…risco será maior se houver descontrole metabólico…
Estratificação é feita em qual momento do cuidado?,False,False,False,True,A partir da primeira consulta.,Diabetes Mellitus Quick Guide,A partir da primeira consulta… deve realizar a estratificação de risco…
Como pé diabético influencia o estrato de risco?,False,False,False,True,Presença de pé diabético de risco avançado eleva ao alto risco.,Diabetes Mellitus Quick Guide,…complicações crônicas (incluindo pé diabético de risco avançado)…
Por que a estratificação deve ser revista periodicamente?,False,False,False,True,Mudanças no controle ou novas complicações podem alterar o nível de risco.,Diabetes Mellitus Quick Guide,…risco será maior se houver descontrole ou complicações…
Qual documento apresenta fluxograma de manejo dos estratos?,False,False,False,True,Quadro 07 – Sugestão de manejo dos estratos de risco.,Diabetes Mellitus Quick Guide,Quadro 07 - Sugestão de manejo dos estratos de risco
Estratificação considera controle pressórico; cite um valor-alvo comum.,False,False,True,False,Manter pressão arterial abaixo de 140/90 mmHg (valor exemplo).,Diabetes Mellitus Quick Guide,…controle pressórico adequados…
