pergunta,alimentacao,medicamento,controle_glicemico,duvida_geral,resposta,nome_artigo,trecho
Quais recomendações de cuidado se aplicam a gestantes com diabetes?,False,True,True,False,"É importante individualizar metas, reforçar a monitorização glicêmica e envolver uma equipe multidisciplinar para orientar ajustes de medicação, alimentação e estilo de vida.",Diabetes Mellitus Quick Guide,Ver recomendações para situações especiais.
Como ajustar o tratamento para crianças em idade escolar com diabetes?,True,False,True,False,"É importante individualizar metas, reforçar a monitorização glicêmica e envolver uma equipe multidisciplinar para orientar ajustes de medicação, alimentação e estilo de vida.",Diabetes Mellitus Quick Guide,Ver recomendações para situações especiais.
Qual estratégia ajuda a manter a glicose estável em idosos que vivem em instituições de longa permanência?,True,True,True,False,"É importante individualizar metas, reforçar a monitorização glicêmica e envolver uma equipe multidisciplinar para orientar ajustes de medicação, alimentação e estilo de vida.",Diabetes Mellitus Quick Guide,Ver recomendações para situações especiais.
Como ajustar o tratamento para pacientes com doença renal crônica?,False,True,True,False,"É importante individualizar metas, reforçar a monitorização glicêmica e envolver uma equipe multidisciplinar para orientar ajustes de medicação, alimentação e estilo de vida.",Diabetes Mellitus Quick Guide,Ver recomendações para situações especiais.
Que pontos merecem atenção extra em pessoas que usam corticoides sistêmicos?,False,True,True,False,"É importante individualizar metas, reforçar a monitorização glicêmica e envolver uma equipe multidisciplinar para orientar ajustes de medicação, alimentação e estilo de vida.",Diabetes Mellitus Quick Guide,Ver recomendações para situações especiais.
Como ajustar o tratamento para indivíduos enfrentando infecções agudas graves?,False,True,True,False,"É importante individualizar metas, reforçar a monitorização glicêmica e envolver uma equipe multidisciplinar para orientar ajustes de medicação, alimentação e estilo de vida.",Diabetes Mellitus Quick Guide,Ver recomendações para situações especiais.
Quais recomendações de cuidado se aplicam a atletas ou praticantes de atividade física intensa?,True,False,True,False,"É importante individualizar metas, reforçar a monitorização glicêmica e envolver uma equipe multidisciplinar para orientar ajustes de medicação, alimentação e estilo de vida.",Diabetes Mellitus Quick Guide,Ver recomendações para situações especiais.
Como ajustar o tratamento para pacientes submetidos a jejum prolongado ou cirurgias?,False,True,True,False,"É importante individualizar metas, reforçar a monitorização glicêmica e envolver uma equipe multidisciplinar para orientar ajustes de medicação, alimentação e estilo de vida.",Diabetes Mellitus Quick Guide,Ver recomendações para situações especiais.
Quais recomendações de cuidado se aplicam a viajantes em voos intercontinentais?,True,False,True,False,"É importante individualizar metas, reforçar a monitorização glicêmica e envolver uma equipe multidisciplinar para orientar ajustes de medicação, alimentação e estilo de vida.",Diabetes Mellitus Quick Guide,Ver recomendações para situações especiais.
Qual estratégia ajuda a manter a glicose estável em pessoas com hipoglicemias noturnas recorrentes?,False,True,True,False,"É importante individualizar metas, reforçar a monitorização glicêmica e envolver uma equipe multidisciplinar para orientar ajustes de medicação, alimentação e estilo de vida.",Diabetes Mellitus Quick Guide,Ver recomendações para situações especiais.
Como ajustar o tratamento para usuários de análogos de GLP‑1?,False,True,True,False,"É importante individualizar metas, reforçar a monitorização glicêmica e envolver uma equipe multidisciplinar para orientar ajustes de medicação, alimentação e estilo de vida.",Diabetes Mellitus Quick Guide,Ver recomendações para situações especiais.
Quais recomendações de cuidado se aplicam a seguidores de dietas cetogênicas?,True,False,True,False,"É importante individualizar metas, reforçar a monitorização glicêmica e envolver uma equipe multidisciplinar para orientar ajustes de medicação, alimentação e estilo de vida.",Diabetes Mellitus Quick Guide,Ver recomendações para situações especiais.
Qual estratégia ajuda a manter a glicose estável em pacientes usando bomba de insulina?,False,True,True,False,"É importante individualizar metas, reforçar a monitorização glicêmica e envolver uma equipe multidisciplinar para orientar ajustes de medicação, alimentação e estilo de vida.",Diabetes Mellitus Quick Guide,Ver recomendações para situações especiais.
Como ajustar o tratamento para trabalhadores em turnos noturnos?,True,False,True,False,"É importante individualizar metas, reforçar a monitorização glicêmica e envolver uma equipe multidisciplinar para orientar ajustes de medicação, alimentação e estilo de vida.",Diabetes Mellitus Quick Guide,Ver recomendações para situações especiais.
Que pontos merecem atenção extra em portadores de doença cardiovascular estabelecida?,False,True,True,False,"É importante individualizar metas, reforçar a monitorização glicêmica e envolver uma equipe multidisciplinar para orientar ajustes de medicação, alimentação e estilo de vida.",Diabetes Mellitus Quick Guide,Ver recomendações para situações especiais.
Qual estratégia ajuda a manter a glicose estável em pessoas em cuidados paliativos?,True,True,True,False,"É importante individualizar metas, reforçar a monitorização glicêmica e envolver uma equipe multidisciplinar para orientar ajustes de medicação, alimentação e estilo de vida.",Diabetes Mellitus Quick Guide,Ver recomendações para situações especiais.
Quais recomendações de cuidado se aplicam a pacientes hospitalizados por COVID‑19?,False,True,True,False,"É importante individualizar metas, reforçar a monitorização glicêmica e envolver uma equipe multidisciplinar para orientar ajustes de medicação, alimentação e estilo de vida.",Diabetes Mellitus Quick Guide,Ver recomendações para situações especiais.
Que pontos merecem atenção extra em pessoas com pré‑diabetes e obesidade?,True,False,False,False,"É importante individualizar metas, reforçar a monitorização glicêmica e envolver uma equipe multidisciplinar para orientar ajustes de medicação, alimentação e estilo de vida.",Diabetes Mellitus Quick Guide,Ver recomendações para situações especiais.
Que pontos merecem atenção extra em participantes de programas de educação em diabetes?,True,False,False,False,"É importante individualizar metas, reforçar a monitorização glicêmica e envolver uma equipe multidisciplinar para orientar ajustes de medicação, alimentação e estilo de vida.",Diabetes Mellitus Quick Guide,Ver recomendações para situações especiais.
Que pontos merecem atenção extra em pacientes que enfrentam estresse psicológico significativo?,False,False,False,True,"É importante individualizar metas, reforçar a monitorização glicêmica e envolver uma equipe multidisciplinar para orientar ajustes de medicação, alimentação e estilo de vida.",Diabetes Mellitus Quick Guide,Ver recomendações para situações especiais.
Como ajustar o tratamento para gestantes com diabetes?,False,True,True,False,"É importante individualizar metas, reforçar a monitorização glicêmica e envolver uma equipe multidisciplinar para orientar ajustes de medicação, alimentação e estilo de vida.",Diabetes Mellitus Quick Guide,Ver recomendações para situações especiais.
Como ajustar o tratamento para crianças em idade escolar com diabetes?,True,False,True,False,"É importante individualizar metas, reforçar a monitorização glicêmica e envolver uma equipe multidisciplinar para orientar ajustes de medicação, alimentação e estilo de vida.",Diabetes Mellitus Quick Guide,Ver recomendações para situações especiais.
Qual estratégia ajuda a manter a glicose estável em idosos que vivem em instituições de longa permanência?,True,True,True,False,"É importante individualizar metas, reforçar a monitorização glicêmica e envolver uma equipe multidisciplinar para orientar ajustes de medicação, alimentação e estilo de vida.",Diabetes Mellitus Quick Guide,Ver recomendações para situações especiais.
Quais recomendações de cuidado se aplicam a pacientes com doença renal crônica?,False,True,True,False,"É importante individualizar metas, reforçar a monitorização glicêmica e envolver uma equipe multidisciplinar para orientar ajustes de medicação, alimentação e estilo de vida.",Diabetes Mellitus Quick Guide,Ver recomendações para situações especiais.
Como ajustar o tratamento para pessoas que usam corticoides sistêmicos?,False,True,True,False,"É importante individualizar metas, reforçar a monitorização glicêmica e envolver uma equipe multidisciplinar para orientar ajustes de medicação, alimentação e estilo de vida.",Diabetes Mellitus Quick Guide,Ver recomendações para situações especiais.
Como ajustar o tratamento para indivíduos enfrentando infecções agudas graves?,False,True,True,False,"É importante individualizar metas, reforçar a monitorização glicêmica e envolver uma equipe multidisciplinar para orientar ajustes de medicação, alimentação e estilo de vida.",Diabetes Mellitus Quick Guide,Ver recomendações para situações especiais.
Como ajustar o tratamento para atletas ou praticantes de atividade física intensa?,True,False,True,False,"É importante individualizar metas, reforçar a monitorização glicêmica e envolver uma equipe multidisciplinar para orientar ajustes de medicação, alimentação e estilo de vida.",Diabetes Mellitus Quick Guide,Ver recomendações para situações especiais.
Que pontos merecem atenção extra em pacientes submetidos a jejum prolongado ou cirurgias?,False,True,True,False,"É importante individualizar metas, reforçar a monitorização glicêmica e envolver uma equipe multidisciplinar para orientar ajustes de medicação, alimentação e estilo de vida.",Diabetes Mellitus Quick Guide,Ver recomendações para situações especiais.
Que pontos merecem atenção extra em viajantes em voos intercontinentais?,True,False,True,False,"É importante individualizar metas, reforçar a monitorização glicêmica e envolver uma equipe multidisciplinar para orientar ajustes de medicação, alimentação e estilo de vida.",Diabetes Mellitus Quick Guide,Ver recomendações para situações especiais.
Como ajustar o tratamento para pessoas com hipoglicemias noturnas recorrentes?,False,True,True,False,"É importante individualizar metas, reforçar a monitorização glicêmica e envolver uma equipe multidisciplinar para orientar ajustes de medicação, alimentação e estilo de vida.",Diabetes Mellitus Quick Guide,Ver recomendações para situações especiais.
Como ajustar o tratamento para usuários de análogos de GLP‑1?,False,True,True,False,"É importante individualizar metas, reforçar a monitorização glicêmica e envolver uma equipe multidisciplinar para orientar ajustes de medicação, alimentação e estilo de vida.",Diabetes Mellitus Quick Guide,Ver recomendações para situações especiais.
Qual estratégia ajuda a manter a glicose estável em seguidores de dietas cetogênicas?,True,False,True,False,"É importante individualizar metas, reforçar a monitorização glicêmica e envolver uma equipe multidisciplinar para orientar ajustes de medicação, alimentação e estilo de vida.",Diabetes Mellitus Quick Guide,Ver recomendações para situações especiais.
Como ajustar o tratamento para pacientes usando bomba de insulina?,False,True,True,False,"É importante individualizar metas, reforçar a monitorização glicêmica e envolver uma equipe multidisciplinar para orientar ajustes de medicação, alimentação e estilo de vida.",Diabetes Mellitus Quick Guide,Ver recomendações para situações especiais.
