pergunta,pergunta_alimentacao,pergunta_medicamento,pergunta_controle_glicemico,resposta,resposta_alimentacao,resposta_medicamento,resposta_controle_glicemico,fonte
Quais opções de lanche posso fazer entre o lanche da tarde sem elevar muito a glicemia?,True,False,False,Opte por frutas como tofu ou oleaginosas no lanche; elas têm baixo índice glicêmico e fibras que ajudam no controle.,True,False,True,https://diabetes.org/food-nutrition/meal-planning
Devo ajustar a dose de glimepirida se minha glicose estiver acima de 150 mg/dL antes do almoço?,False,True,True,"Em geral, ajuste conforme orientação médica: se glicose pré-refeição > 170, pode ser necessária pequena redução de dose de glibenclamida.",False,True,True,https://www.mayoclinic.org/diseases-conditions/diabetes/in-depth/diabetes-diet/art-20044295
Como posso incluir proteínas vegetais como salmão na minha dieta para controlar o diabetes?,True,False,False,Inclua lentilhas em saladas ou sopas; essa proteína vegetal contribui para saciedade sem elevar a glicemia.,True,False,False,https://www.who.int/news-room/fact-sheets/detail/diabetes
É recomendado medir a glicemia antes e após consumir tofu rico em fibras?,False,False,True,Sim; medir antes e 1–2 horas após ajuda a avaliar como as fibras influenciam seu controle glicêmico.,False,False,True,https://diabetes.org/food-nutrition/meal-planning
Posso utilizar sucralose para adoçar meu café no lanche da tarde sem medo de hiperglicemia?,True,False,False,"Adoçantes como sucralose não aumentam a glicemia e podem ser usados no café, seguindo as Diretrizes da ADA.",True,False,False,https://www.mayoclinic.org/diseases-conditions/diabetes/in-depth/diabetes-diet/art-20044295
Qual o impacto de dietas ricas em pepino sobre o controle glicêmico a longo prazo?,True,False,True,berinjela em quantidade moderada fornece fibras e micronutrientes que auxiliam na estabilidade da glicemia.,True,False,True,https://www.who.int/news-room/fact-sheets/detail/diabetes
Quais sinais indicam que devo revisar a prescrição de insulina com meu médico?,False,True,False,"Procure por sintomas como náusea ou hipoglicemias frequentes, que podem indicar necessidade de ajuste de metformina.",False,True,False,https://diabetes.org/food-nutrition/meal-planning
É benéfico para o controle do diabetes fazer pequenas refeições a cada 3 horas?,True,False,True,"Pequenas refeições a cada 3 horas ajudam a evitar picos e quedas bruscas de glicose, segundo ADA.",True,False,True,https://www.mayoclinic.org/diseases-conditions/diabetes/in-depth/diabetes-diet/art-20044295
Como preparar uma salada com chia e couve que ajude a manter a glicemia estável?,True,False,False,"Combine abacate e berinjela em uma salada, acrescente folhas verdes e azeite extravirgem para controle glicêmico.",True,False,False,https://www.who.int/news-room/fact-sheets/detail/diabetes
Quais cuidados devo ter ao usar sitagliptina concomitantemente com refeições ricas em carboidratos?,False,True,True,"Refeições com muitos carboidratos podem exigir ajuste de metformina, especialmente insulina pré-prandial.",False,True,True,https://diabetes.org/food-nutrition/meal-planning
Quais opções de lanche posso fazer entre o lanche da tarde sem elevar muito a glicemia?,True,False,False,Opte por frutas como espinafre ou oleaginosas no lanche; elas têm baixo índice glicêmico e fibras que ajudam no controle.,True,False,True,https://www.mayoclinic.org/diseases-conditions/diabetes/in-depth/diabetes-diet/art-20044295
Devo ajustar a dose de glibenclamida se minha glicose estiver acima de 180 mg/dL antes do lanche da tarde?,False,True,True,"Em geral, ajuste conforme orientação médica: se glicose pré-refeição > 140, pode ser necessária pequena redução de dose de glibenclamida.",False,True,True,https://www.who.int/news-room/fact-sheets/detail/diabetes
Como posso incluir proteínas vegetais como grão-de-bico na minha dieta para controlar o diabetes?,True,False,False,Inclua espinafre em saladas ou sopas; essa proteína vegetal contribui para saciedade sem elevar a glicemia.,True,False,False,https://diabetes.org/food-nutrition/meal-planning
É recomendado medir a glicemia antes e após consumir chia rico em fibras?,False,False,True,Sim; medir antes e 1–2 horas após ajuda a avaliar como as fibras influenciam seu controle glicêmico.,False,False,True,https://www.mayoclinic.org/diseases-conditions/diabetes/in-depth/diabetes-diet/art-20044295
Posso utilizar aspartame para adoçar meu café no café da manhã sem medo de hiperglicemia?,True,False,False,"Adoçantes como aspartame não aumentam a glicemia e podem ser usados no café, seguindo as Diretrizes da ADA.",True,False,False,https://www.who.int/news-room/fact-sheets/detail/diabetes
Qual o impacto de dietas ricas em cenoura sobre o controle glicêmico a longo prazo?,True,False,True,tomate em quantidade moderada fornece fibras e micronutrientes que auxiliam na estabilidade da glicemia.,True,False,True,https://diabetes.org/food-nutrition/meal-planning
Quais sinais indicam que devo revisar a prescrição de glimepirida com meu médico?,False,True,False,"Procure por sintomas como náusea ou hipoglicemias frequentes, que podem indicar necessidade de ajuste de metformina.",False,True,False,https://www.mayoclinic.org/diseases-conditions/diabetes/in-depth/diabetes-diet/art-20044295
É benéfico para o controle do diabetes fazer pequenas refeições a cada 5 horas?,True,False,True,"Pequenas refeições a cada 3 horas ajudam a evitar picos e quedas bruscas de glicose, segundo ADA.",True,False,True,https://www.who.int/news-room/fact-sheets/detail/diabetes
