pergunta,alimentacao,medicamento,controle_glicemico,duvida_geral,resposta,nome_artigo,trecho
Qual é o passo a passo para medir a glicose em casa usando tira reagente e glicosímetro?,False,False,True,False,"Lavar as mãos, inserir a tira, coletar a gota de sangue, aguardar a leitura e registrar o valor.",Diabetes Mellitus Quick Guide,Recomendações específicas no guia.
"Por que não se deve reutilizar lancetas, mesmo que pareçam limpas?",False,False,True,False,"Reutilizar aumenta risco de dor, sangramento e infecção.",Diabetes Mellitus Quick Guide,Recomendações específicas no guia.
"Como escolher entre agulha de 5 mm, 8 mm ou 12 mm para aplicar insulina?",False,True,False,False,"Depende da idade, IMC e presença ou não de prega subcutânea.",Diabetes Mellitus Quick Guide,Recomendações específicas no guia.
De que forma o armazenamento incorreto das tiras reagentes pode alterar a leitura da glicose?,False,False,True,False,"Calor e umidade danificam a enzima, gerando resultados imprecisos.",Diabetes Mellitus Quick Guide,Recomendações específicas no guia.
Qual é a vida útil de um frasco de tiras depois de aberto?,False,False,True,False,"Normalmente 3 meses após a primeira abertura, se bem fechado.",Diabetes Mellitus Quick Guide,Recomendações específicas no guia.
Como regular a profundidade do lancetador para minimizar dor?,False,False,True,False,"Ajusta-se o dial de acordo com a espessura da pele, testando em níveis baixos primeiro.",Diabetes Mellitus Quick Guide,Recomendações específicas no guia.
Quando trocar a bateria do glicosímetro e que sinais indicam carga baixa?,False,False,True,False,Mensagem 'Lo bat' ou tela apagando; trocar a cada 6–12 meses ou conforme manual.,Diabetes Mellitus Quick Guide,Recomendações específicas no guia.
Qual é o procedimento correto para descartar agulhas e seringas usadas em casa?,False,True,False,False,"Coletar em recipiente rígido, lacrar e entregar em unidade de saúde.",Diabetes Mellitus Quick Guide,Recomendações específicas no guia.
O uso de álcool 70 % antes da punção do dedo é realmente necessário?,False,False,True,False,Lavar com água e sabão basta; álcool pode endurecer a pele.,Diabetes Mellitus Quick Guide,Recomendações específicas no guia.
Como transportar insulina em caneta durante dias muito quentes?,False,True,False,False,Usar estojos térmicos e evitar exposição direta ao sol.,Diabetes Mellitus Quick Guide,Recomendações específicas no guia.
Por que registrar cada leitura de glicose ajuda na consulta médica?,False,False,True,False,Permite identificar padrões e ajustar doses com precisão.,Diabetes Mellitus Quick Guide,Recomendações específicas no guia.
Que cuidados tomar para evitar calosidades nos locais de punção?,False,False,True,False,"Alternar dedos, ajustar profundidade e hidratar a pele.",Diabetes Mellitus Quick Guide,Recomendações específicas no guia.
Quando é indicado usar seringa de 100 U em vez de 30 U ou 50 U?,False,True,False,False,Necessária para doses acima de 50 U ou para diluições.,Diabetes Mellitus Quick Guide,Recomendações específicas no guia.
Como higienizar corretamente o glicosímetro sem danificar os sensores?,False,False,True,False,Pano levemente umedecido com álcool isopropílico; nunca mergulhar em líquidos.,Diabetes Mellitus Quick Guide,Recomendações específicas no guia.
Quais sinais de infecção devem ser observados no local de aplicação?,False,True,False,False,"Vermelhidão, calor local, dor progressiva ou pus.",Diabetes Mellitus Quick Guide,Recomendações específicas no guia.
