pergunta,alimentacao,medicamento,controle_glicemico,duvida_geral,resposta,nome_artigo,trecho
Em que situação de controle glicêmico é indicado encaminhar o paciente para endocrinologista?,False,False,True,False,"Encaminhar se, mesmo com dose >1 U/kg/dia de insulina, persistir descontrole.",Diabetes Mellitus Quick Guide,Ver capítulo e anexo correspondente.
Quando a UBS deve solicitar avaliação de urgência em hiperglicemia grave?,False,False,True,False,Solicitar em casos de estado hiperosmolar ou cetoacidose diabética.,Diabetes Mellitus Quick Guide,Ver capítulo e anexo correspondente.
Em quais casos o paciente com DM1 deve ser encaminhado a atenção secundária?,False,False,True,False,No diagnóstico de DM1 ou complicações agudas não controladas na APS.,Diabetes Mellitus Quick Guide,Ver capítulo e anexo correspondente.
Quais critérios de função renal indicam referência para nefrologia?,False,False,True,False,"TFG ≤ 30 ml/min/1,73 m² (estágios 4–5).",Diabetes Mellitus Quick Guide,Ver capítulo e anexo correspondente.
"Em caso de retinopatia, quando dirigir paciente para oftalmologista?",False,False,True,False,Fundo de olho no diagnóstico (DM2) e anual após exame inicial no DM1.,Diabetes Mellitus Quick Guide,Ver capítulo e anexo correspondente.
Quando referenciar por difícil controle medicamentoso?,False,True,False,False,Se múltiplas injeções diárias falharem em estabilizar glicemia na APS.,Diabetes Mellitus Quick Guide,Ver capítulo e anexo correspondente.
Em que situação clínica aguda acionar SAMU?,False,False,True,False,Transferência urgente em descompensação grave que ameaçam a vida.,Diabetes Mellitus Quick Guide,Ver capítulo e anexo correspondente.
Quando devolver o acompanhamento ao nível secundário mas manter coordenação na UBS?,False,False,False,True,"Alto risco estabilizado, mas com necessidade de consultas especializadas.",Diabetes Mellitus Quick Guide,Ver capítulo e anexo correspondente.
Quais situações de comorbidades demandam co-encaminhamento com outras especialidades?,False,False,False,True,"Cardiologia, nefrologia, oftalmologia e cirurgia vascular em complicações.",Diabetes Mellitus Quick Guide,Ver capítulo e anexo correspondente.
Em quais casos de gestantes com diabetes a APS deve referenciar a obstetrícia?,False,False,False,True,Gestantes que necessitam insulinização intensiva ou têm complicações obstétricas.,Diabetes Mellitus Quick Guide,Ver capítulo e anexo correspondente.
Por que é equivocado avaliar somente pela glicemia de jejum ao ajustar tratamento?,False,False,True,False,Jejum não reflete variações pós-prandiais nem riscos de hipo entre refeições.,Diabetes Mellitus Quick Guide,Ver capítulo e anexo correspondente.
Qual erro ocorre ao negligenciar orientações de estilo de vida em pacientes medicados?,True,False,False,False,Ignorar dieta e exercícios pode diminuir adesão e eficácia do tratamento.,Diabetes Mellitus Quick Guide,Ver capítulo e anexo correspondente.
Por que é inadequado postergar ajustes de insulina diante de HbA1c elevada?,False,True,True,False,Atraso agrava complicações e aumenta risco cardiovascular.,Diabetes Mellitus Quick Guide,Ver capítulo e anexo correspondente.
Qual erro de autopunição nutricional pode ocorrer após hipoglicemia?,True,False,True,False,Restringir exageradamente alimentos por medo de hiperglicemia pós-refeição.,Diabetes Mellitus Quick Guide,Ver capítulo e anexo correspondente.
Por que confiar apenas em exames laboratoriais sem considerar sintomas é um erro?,False,False,True,False,Hipoglicemias graves podem ocorrer sem alterações marcantes na HbA1c.,Diabetes Mellitus Quick Guide,Ver capítulo e anexo correspondente.
