pergunta,alimentacao,medicamento,controle_glicemico,duvida_geral,resposta,nome_artigo,trecho
O que é Diabetes Mellitus segundo o guia?,False,False,False,True,"É um grupo de doenças metabólicas marcado por níveis altos de glicose no sangue devido a defeitos na insulina (produção, ação ou ambos).",Diabetes Mellitus Quick Guide,…grupo de doenças metabólicas marcado por hiperglicemia devido a defeitos na secreção ou ação da insulina…
Por que a DM é considerada “silenciosa”?,False,False,False,True,"Porque mais de 50 % das pessoas não sabem que têm a doença, já que os sintomas podem demorar a aparecer.",Diabetes Mellitus Quick Guide,…mais de 50 % dos indivíduos desconhecem ter a doença…
Quantas pessoas têm diabetes no mundo segundo o Atlas da IDF?,False,False,False,True,Cerca de 537 milhões em 2021.,Diabetes Mellitus Quick Guide,…Atlas IDF 2021: 537 milhões de pessoas vivem com diabetes…
Em quanto aumentou o número de casos entre 2019 e 2021?,False,False,False,True,Houve um aumento de 74 milhões de casos.,Diabetes Mellitus Quick Guide,…de 463 milhões em 2019 para 537 milhões em 2021 (incremento de 74 milhões)…
Qual porcentagem das mortes no Brasil é causada por DCNT?,False,False,False,True,As DCNT respondem por 72 % da mortalidade no país.,Diabetes Mellitus Quick Guide,…doenças crônicas não transmissíveis respondem por 72 % da mortalidade…
Quais são as quatro DCNT citadas?,False,False,False,True,"Doenças cardiovasculares, câncer, diabetes e doenças respiratórias crônicas.",Diabetes Mellitus Quick Guide,"…cardiovasculares, câncer, diabetes e doenças respiratórias crônicas…"
Para que serve atualizar protocolos clínicos de DCNT?,False,False,False,True,"Para melhorar avaliação e intervenção caso a caso, reduzindo morbimortalidade.",Diabetes Mellitus Quick Guide,…atualização de protocolos clínicos visa melhorar avaliação e intervenção…
Qual é a principal fonte de classificação do DM no guia?,False,False,False,True,A Sociedade Brasileira de Diabetes (SBD).,Diabetes Mellitus Quick Guide,…classificação baseada na Sociedade Brasileira de Diabetes…
Quais são as quatro categorias básicas de DM?,False,False,False,True,"DM tipo 1, DM tipo 2, diabetes gestacional e outros tipos específicos.",Diabetes Mellitus Quick Guide,"…DM1, DM2, diabetes gestacional e outros tipos…"
Por que o DM2 é considerado o tipo mais comum?,False,False,False,True,"Ele corresponde à maioria dos casos, especialmente em idosos e pessoas com obesidade.",Diabetes Mellitus Quick Guide,"…a forma mais prevalente, particularmente em idosos e indivíduos com obesidade…"
Que sinais clínicos sugerem resistência à insulina no DM2?,False,False,False,True,Acantose nigricans e hipertrigliceridemia.,Diabetes Mellitus Quick Guide,…acantose nigricans e níveis elevados de triglicerídeos…
Em que faixa etária o DM1 é mais frequente?,False,False,False,True,Em crianças e adolescentes.,Diabetes Mellitus Quick Guide,…mais comum em crianças e adolescentes…
Qual mecanismo causa o DM1?,False,False,False,True,Destruição imunomediada das células‑beta pancreáticas.,Diabetes Mellitus Quick Guide,…destruição autoimune das células beta…
Por que o DM1 costuma ter complicações mais súbitas?,False,False,False,True,"Porque a falta de insulina é abrupta, levando a crises agudas como cetoacidose.",Diabetes Mellitus Quick Guide,…abrupta deficiência de insulina predispõe à cetoacidose…
Qual tratamento é essencial no DM1?,False,True,False,False,Uso de insulinas (insulinoterapia).,Diabetes Mellitus Quick Guide,…insulinoterapia é mandatória para DM1…
O que diferencia clinicamente DM1 de DM2 segundo o texto?,False,False,False,True,"O diagnóstico é feito por características clínicas, sem exames especiais na maioria dos casos.",Diabetes Mellitus Quick Guide,…diferencia‑se clinicamente sem necessidade de marcadores imunológicos…
Qual idade mínima a SBD recomenda rastrear mesmo sem fatores de risco?,False,False,False,True,45 anos.,Diabetes Mellitus Quick Guide,…rastreamento a partir de 45 anos mesmo sem fatores…
Por que pessoas com IMC ≥ 25 kg/m² devem rastrear antes?,True,False,False,False,O excesso de peso aumenta o risco de desenvolver DM2.,Diabetes Mellitus Quick Guide,…IMC ≥ 25 kg/m² constitui fator de risco…
Cite um sintoma típico de hiperglicemia listado no guia.,False,False,True,False,Poliúria (urinar muito).,Diabetes Mellitus Quick Guide,"…sintomas clássicos: poliúria, polidipsia…"
"Que exame pode confirmar DM com HbA1c ≥ 6,5 %?",False,False,True,False,Hemoglobina glicada (HbA1c).,Diabetes Mellitus Quick Guide,"…HbA1c ≥ 6,5 % confirma diagnóstico…"
Qual valor de glicemia em jejum define DM se repetido?,False,False,True,False,≥ 126 mg/dL em duas medições.,Diabetes Mellitus Quick Guide,"…glicemia de jejum ≥ 126 mg/dL, confirmada…"
O que significa a sigla HbA1c?,False,False,False,True,"Hemoglobina glicada, marcador de controle da glicose a longo prazo.",Diabetes Mellitus Quick Guide,"…HbA1c, hemoglobina glicada…"
Por que o DM2 é chamado de silencioso e insidioso?,False,False,False,True,"Porque evolui devagar, sem sintomas, até aparecerem complicações.",Diabetes Mellitus Quick Guide,"…curso insidioso, frequentemente assintomático…"
Qual complicação aguda é citada como típica do DM1?,False,False,True,False,Cetoacidose diabética.,Diabetes Mellitus Quick Guide,…DM1 pode evoluir com cetoacidose…
Qual exame não se recomenda fazer de rotina no diagnóstico de DM segundo o guia?,False,False,False,True,"Exames complementares de autoanticorpos, exceto em casos atípicos.",Diabetes Mellitus Quick Guide,…exames de autoanticorpos não são recomendados rotineiramente…
Como o sobrepeso influencia no rastreamento anual?,True,False,False,False,Pessoas com IMC ≥ 25 kg/m² + fator de risco devem repetir exames a cada ano.,Diabetes Mellitus Quick Guide,…IMC elevado + risco → rastreamento anual…
Qual critério se usa para repetir rastreamento a cada 3 anos?,False,False,False,True,Exames normais em adultos ≥ 45 anos sem fatores de risco.,Diabetes Mellitus Quick Guide,…exames normais → repetir a cada 3 anos…
Cite um fator de risco adicional para DM2 listado.,True,False,False,False,Obesidade abdominal (circunferência abdominal alta).,Diabetes Mellitus Quick Guide,…obesidade abdominal é fator de risco…
Que teste oral é usado no diagnóstico?,False,False,True,False,Teste Oral de Tolerância à Glicose (TOTG) com 75 g.,Diabetes Mellitus Quick Guide,…TOTG 75 g…
Qual valor da glicemia 2 h pós‑TOTG confirma DM?,False,False,True,False,≥ 200 mg/dL.,Diabetes Mellitus Quick Guide,…glicemia 2 h ≥ 200 mg/dL…
Qual é o impacto econômico citado da DM?,False,False,False,True,Gera altos custos ao sistema de saúde e à sociedade devido a complicações.,Diabetes Mellitus Quick Guide,…impacto econômico significativo…
Por que é importante entender fisiopatologia e tratamento da DM?,False,False,False,True,"Para melhorar prevenção, manejo e qualidade de vida dos pacientes.",Diabetes Mellitus Quick Guide,…compreensão da fisiopatologia melhora a prevenção…
O que caracteriza clinicamente a resistência insulínica?,False,False,False,True,Presença de acantose nigricans e hipertrigliceridemia.,Diabetes Mellitus Quick Guide,…acantose nigricans… hipertrigliceridemia…
Qual diferença principal no curso clínico entre DM1 e DM2?,False,False,False,True,DM1 evolui rapidamente com sintomas agudos; DM2 evolui lentamente.,Diabetes Mellitus Quick Guide,…DM1 curso rápido; DM2 indolente…
Por que o diagnóstico precoce de DM2 é difícil?,False,False,False,True,Porque muitos pacientes permanecem assintomáticos por anos.,Diabetes Mellitus Quick Guide,…assintomático por anos…
Qual exame simples pode detectar hiperglicemia ao acaso?,False,False,True,False,Glicemia plasmática casual ≥ 200 mg/dL com sintomas.,Diabetes Mellitus Quick Guide,…glicemia casual ≥ 200 mg/dL…
Cite dois sintomas clássicos da “tetrade P” do DM.,False,False,True,False,Poliúria e polidipsia.,Diabetes Mellitus Quick Guide,"…poliúria, polidipsia…"
Como o guia define DM gestacional brevemente?,False,False,False,True,Diabetes diagnosticado pela primeira vez durante a gestação.,Diabetes Mellitus Quick Guide,…diagnosticado pela primeira vez na gestação…
Por que países em desenvolvimento concentram > 80 % dos casos?,False,False,False,True,Maior exposição a fatores de risco e menor acesso a prevenção.,Diabetes Mellitus Quick Guide,…> 80 % dos casos em países em desenvolvimento…
Qual o objetivo principal ao compreender as classificações do DM?,False,False,False,True,Definir abordagens de prevenção e tratamento adequadas a cada tipo.,Diabetes Mellitus Quick Guide,…permite planejar prevenção e tratamento adequados…
