pergunta,alimentacao,medicamento,controle_glicemico,duvida_geral,resposta,nome_artigo,trecho
Qual é o primeiro passo do fluxo para o paciente com indicação de análogos de insulina?,False,True,False,True,Ele deve ser encaminhado à farmácia especial da Regional de Saúde correspondente.,"Protocolo Clínico para Dispensação de Análogos de Insulina para Pacientes com Diabetes Mellitus Tipo 1 – SESA/PR, 2009",1. O paciente … deve ser encaminhado às farmácias especiais das Regionais de Saúde…
Quem informa o paciente sobre os documentos necessários?,False,True,False,True,A farmácia especial da Regional de Saúde.,"Protocolo Clínico para Dispensação de Análogos de Insulina para Pacientes com Diabetes Mellitus Tipo 1 – SESA/PR, 2009",2. A farmácia especial da RS deve informar ao paciente a respeito dos documentos necessários…
Quais formulários a farmácia deve disponibilizar ao paciente no início do processo?,False,True,False,False,O Laudo de Medicamentos Excepcionais (LME) e o Relatório Específico.,"Protocolo Clínico para Dispensação de Análogos de Insulina para Pacientes com Diabetes Mellitus Tipo 1 – SESA/PR, 2009",…disponibilizar o formulário Laudo de Medicamentos Excepcionais – LME e Relatório Específico…
Quem deve preencher o LME e o Relatório Específico?,False,True,False,False,O médico de referência do paciente.,"Protocolo Clínico para Dispensação de Análogos de Insulina para Pacientes com Diabetes Mellitus Tipo 1 – SESA/PR, 2009",3. O médico de referência deve preencher todos os campos do LME e Relatório Específico…
O que a farmácia faz após receber toda a documentação do paciente?,False,True,False,True,Cadastra o paciente no SISMEDEX‑CMDE e envia o processo para a auditoria médica central.,"Protocolo Clínico para Dispensação de Análogos de Insulina para Pacientes com Diabetes Mellitus Tipo 1 – SESA/PR, 2009",4. A farmácia especial da RS cadastra o paciente no programa informatizado SISMEDEX – CMDE e encaminha o processo…
Quem avalia o processo após o cadastro no SISMEDEX‑CMDE?,False,True,False,True,A auditoria médica central.,"Protocolo Clínico para Dispensação de Análogos de Insulina para Pacientes com Diabetes Mellitus Tipo 1 – SESA/PR, 2009",…encaminha o processo para avaliação da auditoria médica central…
O que acontece se o paciente atender aos critérios do protocolo?,False,True,False,False,Ele é cadastrado no Programa de Análogos de Insulina.,"Protocolo Clínico para Dispensação de Análogos de Insulina para Pacientes com Diabetes Mellitus Tipo 1 – SESA/PR, 2009",5. Caso o paciente atenda aos critérios… será cadastrado no Programa…
O que ocorre se o paciente não atender aos critérios?,False,True,False,False,A auditoria emite parecer de indeferimento e o processo é devolvido ao paciente.,"Protocolo Clínico para Dispensação de Análogos de Insulina para Pacientes com Diabetes Mellitus Tipo 1 – SESA/PR, 2009",6. Se o paciente não se enquadrar… a auditoria médica emitirá um parecer…
Com que frequência o paciente cadastrado deve retornar à farmácia para retirar análogos e insumos?,False,True,False,True,Mensalmente.,"Protocolo Clínico para Dispensação de Análogos de Insulina para Pacientes com Diabetes Mellitus Tipo 1 – SESA/PR, 2009",7. Mensalmente o paciente cadastrado no programa deve retornar à farmácia especial…
Que documentação o paciente deve apresentar nas retiradas mensais?,False,True,True,False,"Diário de glicemias, receita atualizada e outros documentos exigidos para manutenção.","Protocolo Clínico para Dispensação de Análogos de Insulina para Pacientes com Diabetes Mellitus Tipo 1 – SESA/PR, 2009",…trazendo a documentação exigida para manutenção no programa…
