pergunta,alimentacao,medicamento,controle_glicemico,duvida_geral,resposta,nome_artigo,trecho
Quem coordena o Programa de Análogos de Insulina no Paraná?,False,False,False,True,O Centro de Medicamentos do Paraná (CEMEPAR) coordena o programa.,"Protocolo Clínico para Dispensação de Análogos de Insulina para Pacientes com Diabetes Mellitus Tipo 1 – SESA/PR, 2009",O Programa é coordenado pelo Centro de Medicamentos do Paraná – CEMEPAR.
Qual unidade da SESA cadastra o médico de referência no sistema?,False,False,False,True,A farmácia especial da Regional de Saúde é responsável pelo cadastro.,"Protocolo Clínico para Dispensação de Análogos de Insulina para Pacientes com Diabetes Mellitus Tipo 1 – SESA/PR, 2009",A farmácia especial da RS cadastra o médico de referência no programa.
Qual sistema informatizado é usado para registrar os pacientes?,False,False,False,True,Utiliza‑se o SISMEDEX‑CMDE.,"Protocolo Clínico para Dispensação de Análogos de Insulina para Pacientes com Diabetes Mellitus Tipo 1 – SESA/PR, 2009",…cadastra o paciente no programa informatizado SISMEDEX – CMDE…
Que formulários são entregues ao paciente na porta de entrada do programa?,False,True,False,False,O Laudo de Medicamentos Excepcionais (LME) e o Relatório Específico.,"Protocolo Clínico para Dispensação de Análogos de Insulina para Pacientes com Diabetes Mellitus Tipo 1 – SESA/PR, 2009",…disponibilizar o formulário LME e Relatório Específico…
Quem analisa o processo após o cadastro no SISMEDEX‑CMDE?,False,False,False,True,A Auditoria Médica Central do CEMEPAR.,"Protocolo Clínico para Dispensação de Análogos de Insulina para Pacientes com Diabetes Mellitus Tipo 1 – SESA/PR, 2009",…encaminha o processo para avaliação da auditoria médica central…
O que acontece se o paciente não atender aos critérios do protocolo?,False,False,False,True,A Auditoria Médica emite parecer de indeferimento e devolve o processo.,"Protocolo Clínico para Dispensação de Análogos de Insulina para Pacientes com Diabetes Mellitus Tipo 1 – SESA/PR, 2009",…a auditoria médica emitirá um parecer do motivo do indeferimento…
Com que frequência o paciente deve retirar insulina na farmácia especial?,False,True,False,False,Mensalmente.,"Protocolo Clínico para Dispensação de Análogos de Insulina para Pacientes com Diabetes Mellitus Tipo 1 – SESA/PR, 2009",Mensalmente o paciente… deve retornar à farmácia especial…
Que documentos o paciente apresenta nas visitas mensais?,False,True,True,False,"Receita atualizada, diário de glicemias e exames exigidos.","Protocolo Clínico para Dispensação de Análogos de Insulina para Pacientes com Diabetes Mellitus Tipo 1 – SESA/PR, 2009",…trazendo a documentação exigida para manutenção no programa…
Quem gerencia o estoque de análogos de insulina para distribuição?,False,False,False,True,O CEMEPAR é responsável pelo estoque e logística.,"Protocolo Clínico para Dispensação de Análogos de Insulina para Pacientes com Diabetes Mellitus Tipo 1 – SESA/PR, 2009",Coordenação e logística de medicamentos pelo CEMEPAR.
Qual é a porta de entrada do programa para o usuário do SUS?,False,False,False,True,Avaliação por médico de referência cadastrado no programa.,"Protocolo Clínico para Dispensação de Análogos de Insulina para Pacientes com Diabetes Mellitus Tipo 1 – SESA/PR, 2009","…usuário do Sistema Único de Saúde, avaliado por médico de referência…"
Quem orienta o paciente sobre a lista de documentos necessários?,False,False,False,True,A farmácia especial da Regional de Saúde.,"Protocolo Clínico para Dispensação de Análogos de Insulina para Pacientes com Diabetes Mellitus Tipo 1 – SESA/PR, 2009",A farmácia especial da RS deve informar ao paciente…
Qual documento comprova o histórico de uso anterior de insulinas do paciente?,False,True,False,False,O Relatório Específico preenchido pelo médico.,"Protocolo Clínico para Dispensação de Análogos de Insulina para Pacientes com Diabetes Mellitus Tipo 1 – SESA/PR, 2009",…Relatório Específico onde conste o histórico de uso de insulinas…
Que informação referente ao médico deve constar no cadastro?,False,False,False,True,Nome completo e CRM do médico de referência.,"Protocolo Clínico para Dispensação de Análogos de Insulina para Pacientes com Diabetes Mellitus Tipo 1 – SESA/PR, 2009",…médico de referência: _____________________________________  CRM:
Qual documento deve conter a assinatura e carimbo do médico solicitante?,False,True,False,False,O formulário Solicitação de Análogos de Insulina – SAI.,"Protocolo Clínico para Dispensação de Análogos de Insulina para Pacientes com Diabetes Mellitus Tipo 1 – SESA/PR, 2009",…Solicitação de Análogos de Insulina – SAI… deve conter assinatura…
Quem devolve o processo ao paciente em caso de indeferimento?,False,False,False,True,A farmácia especial devolve após receber o parecer da Auditoria Médica.,"Protocolo Clínico para Dispensação de Análogos de Insulina para Pacientes com Diabetes Mellitus Tipo 1 – SESA/PR, 2009",…processo será devolvido ao paciente…
Que endereço físico é referência para contato com o CEMEPAR?,False,False,False,True,"Rua Pref. Lothário Meissner, 350 – Jardim Botânico, Curitiba‑PR.","Protocolo Clínico para Dispensação de Análogos de Insulina para Pacientes com Diabetes Mellitus Tipo 1 – SESA/PR, 2009","Rua Pref. Lothário Meissner, 350 - Jd. Botânico …"
Qual é o principal objetivo do gerenciamento do programa?,False,False,False,True,"Garantir acesso seguro, contínuo e monitorado a análogos de insulina.","Protocolo Clínico para Dispensação de Análogos de Insulina para Pacientes com Diabetes Mellitus Tipo 1 – SESA/PR, 2009",…promoção do acesso seguro e monitorado aos análogos de insulina…
Que órgão emite normas técnicas para o programa?,False,False,False,True,A Secretaria de Estado da Saúde do Paraná (SESA).,"Protocolo Clínico para Dispensação de Análogos de Insulina para Pacientes com Diabetes Mellitus Tipo 1 – SESA/PR, 2009",SECRETARIA DE ESTADO DA SAÚDE DO PARANÁ – SESA
A quem compete manter o paciente informado sobre o protocolo vigente?,False,False,False,True,Ao médico de referência e à farmácia especial.,"Protocolo Clínico para Dispensação de Análogos de Insulina para Pacientes com Diabetes Mellitus Tipo 1 – SESA/PR, 2009",…médico de referência deve orientar o paciente…
Qual formulário registra a avaliação farmacoterapêutica do histórico de insulinas?,False,True,False,False,A ficha de Avaliação Farmacoterapêutica anexa ao SAI.,"Protocolo Clínico para Dispensação de Análogos de Insulina para Pacientes com Diabetes Mellitus Tipo 1 – SESA/PR, 2009",3. AVALIAÇÃO FARMACOTERAPÊUTICA: histórico de uso anterior…
