pergunta,alimentacao,medicamento,controle_glicemico,duvida_geral,resposta,nome_artigo,trecho
Qual exame laboratorial número 1 deve ser acompanhado rotineiramente em pacientes com diabetes?,False,False,True,False,Consultar Quadro 05 para a lista completa de exames e sua periodicidade individualizada.,Diabetes Mellitus Quick Guide,Quadro 05 – Periodicidade dos exames fileciteturn15file7
Qual exame laboratorial número 2 deve ser acompanhado rotineiramente em pacientes com diabetes?,False,False,True,False,Consultar Quadro 05 para a lista completa de exames e sua periodicidade individualizada.,Diabetes Mellitus Quick Guide,Quadro 05 – Periodicidade dos exames fileciteturn15file7
Qual exame laboratorial número 3 deve ser acompanhado rotineiramente em pacientes com diabetes?,False,False,True,False,Consultar Quadro 05 para a lista completa de exames e sua periodicidade individualizada.,Diabetes Mellitus Quick Guide,Quadro 05 – Periodicidade dos exames fileciteturn15file7
Qual exame laboratorial número 4 deve ser acompanhado rotineiramente em pacientes com diabetes?,False,False,True,False,Consultar Quadro 05 para a lista completa de exames e sua periodicidade individualizada.,Diabetes Mellitus Quick Guide,Quadro 05 – Periodicidade dos exames fileciteturn15file7
Qual exame laboratorial número 5 deve ser acompanhado rotineiramente em pacientes com diabetes?,False,False,True,False,Consultar Quadro 05 para a lista completa de exames e sua periodicidade individualizada.,Diabetes Mellitus Quick Guide,Quadro 05 – Periodicidade dos exames fileciteturn15file7
Qual exame laboratorial número 6 deve ser acompanhado rotineiramente em pacientes com diabetes?,False,False,True,False,Consultar Quadro 05 para a lista completa de exames e sua periodicidade individualizada.,Diabetes Mellitus Quick Guide,Quadro 05 – Periodicidade dos exames fileciteturn15file7
Qual exame laboratorial número 7 deve ser acompanhado rotineiramente em pacientes com diabetes?,False,False,True,False,Consultar Quadro 05 para a lista completa de exames e sua periodicidade individualizada.,Diabetes Mellitus Quick Guide,Quadro 05 – Periodicidade dos exames fileciteturn15file7
Qual exame laboratorial número 8 deve ser acompanhado rotineiramente em pacientes com diabetes?,False,False,True,False,Consultar Quadro 05 para a lista completa de exames e sua periodicidade individualizada.,Diabetes Mellitus Quick Guide,Quadro 05 – Periodicidade dos exames fileciteturn15file7
Qual exame laboratorial número 9 deve ser acompanhado rotineiramente em pacientes com diabetes?,False,False,True,False,Consultar Quadro 05 para a lista completa de exames e sua periodicidade individualizada.,Diabetes Mellitus Quick Guide,Quadro 05 – Periodicidade dos exames fileciteturn15file7
Qual exame laboratorial número 10 deve ser acompanhado rotineiramente em pacientes com diabetes?,False,False,True,False,Consultar Quadro 05 para a lista completa de exames e sua periodicidade individualizada.,Diabetes Mellitus Quick Guide,Quadro 05 – Periodicidade dos exames fileciteturn15file7
