pergunta,alimentacao,medicamento,controle_glicemico,duvida_geral,resposta,nome_artigo,trecho
"Qual idade mínima para iniciar o rastreamento de diabetes, mesmo sem fatores de risco?",False,False,False,True,A diretriz recomenda iniciar aos 45 anos.,Diabetes Mellitus Quick Guide,"A diretriz da Sociedade Brasileira de Diabetes recomenda rastreamento para todos os indivíduos com 45 anos ou mais, mesmo sem fatores de risco."
Quais valores de IMC definem sobrepeso para rastreamento em adultos?,True,False,False,False,"IMC ≥ 25 kg/m² na população geral; para alguns grupos étnicos, ≥ 23 kg/m².",Diabetes Mellitus Quick Guide,"O IMC pode ser menor para grupos étnicos diferentes (como para os asiáticos, onde consideramos IMC ≥ 23 kg/m²)."
Quais fatores de risco adicionais justificam rastrear antes dos 45 anos?,False,False,False,True,"História familiar, hipertensão, dislipidemia, sedentarismo, entre outros.",Diabetes Mellitus Quick Guide,…que tenham pelo menos um fator de risco adicional para DM2.
Qual é o intervalo de repetição do rastreamento se os exames estiverem normais?,False,False,False,True,A cada três anos.,Diabetes Mellitus Quick Guide,"Se os exames estiverem normais, deve‑se repetir o rastreamento a cada 3 anos."
Quando considerar repetição anual do rastreamento?,False,False,False,True,Em adultos com mais de um fator de risco ou em pré‑diabéticos.,Diabetes Mellitus Quick Guide,…pré‑diabéticos deve ser considerado repetir o rastreamento em intervalo máximo de um ano.
Que comorbidades indicam rastreamento para DM secundário?,False,False,False,True,"Endocrinopatias, doenças pancreáticas, HIV, doença periodontal, esteatose hepática.",Diabetes Mellitus Quick Guide,"…comorbidades relacionadas ao diabetes secundário, como endocrinopatias e doenças pancreáticas…"
Quais sintomas clássicos podem levar ao rastreamento imediato?,False,False,True,False,"Poliúria, polidipsia, polifagia e perda de peso inexplicada.",Diabetes Mellitus Quick Guide,Sintomatologia típica: poliúria; polidipsia; perda ponderal; polifagia.
Qual exame é sugerido no fluxograma inicial de rastreamento de DM2?,False,False,True,False,Glicemia plasmática de jejum.,Diabetes Mellitus Quick Guide,Figura 01 – Fluxograma para rastreamento e diagnóstico de DM2.
IMC limiar para sobrepeso em asiáticos segundo o guia?,True,False,False,False,IMC ≥ 23 kg/m².,Diabetes Mellitus Quick Guide,*O IMC pode ser menor para grupos étnicos diferentes… IMC ≥ 23 kg/m²*
Que documento oficial é citado como fonte dos critérios de rastreamento?,False,False,False,True,Diretriz Oficial da Sociedade Brasileira de Diabetes 2023.,Diabetes Mellitus Quick Guide,Fonte: Diretriz Oficial da Sociedade Brasileira de Diabetes (2023).
Qual exame alternativo pode ser usado para rastreamento em pacientes com dificuldade de jejum?,False,False,True,False,Hemoglobina glicada (HbA1c).,Diabetes Mellitus Quick Guide,…pode‑se utilizar HbA1c para rastreamento e diagnóstico.
Por que é recomendado rastrear indivíduos com esteatose hepática?,False,False,False,True,Porque a condição está frequentemente associada ao desenvolvimento de DM2.,Diabetes Mellitus Quick Guide,"…condições frequentemente associadas ao DM, como … esteatose hepática."
A partir de quantos fatores de risco se recomenda rastreamento anual?,False,False,False,True,Mais de um fator de risco.,Diabetes Mellitus Quick Guide,…adultos com mais de um fator de risco para DM… intervalo máximo de um ano.
Quais exames devem estar alterados em dois momentos para confirmar DM?,False,False,True,False,"Dois exames laboratoriais de rastreamento (por exemplo, glicemia de jejum repetida).",Diabetes Mellitus Quick Guide,É necessário que haja alteração em dois exames.
Qual papel do rastreamento na prevenção das complicações?,False,False,False,True,Permite diagnóstico precoce e intervenção para evitar complicações crônicas do diabetes.,Diabetes Mellitus Quick Guide,…o rastreamento precoce ajuda a evitar complicações…
